업체회원ID,상호명,주소,음식분야,음식점전화번호,사업자등록번호,테이블정보,메뉴정보,운영시간정보
null,굴마을,서울특별시 동대문구 장안동 465-6 ,한식,null,null,null,null,null
null,아비꼬경희대점,서울특별시 동대문구 회기동 42-81 1층 ,한식,null,null,null,null,null
null,신식당,서울특별시 동대문구 회기동 60-59 ,한식,null,null,null,null,null
null,회기족발,서울특별시 동대문구 회기동 45-52 ,한식,null,null,null,null,null
null,청춘싸롱,서울특별시 동대문구 휘경동 276-48 (휘경중길 3) ,한식,null,null,null,null,null
null,도란도란곱창,서울특별시 동대문구 이문동 305-71 ,한식,null,null,null,null,null
null,청일식당,서울특별시 동대문구 청량리동 55-32 (청량2길 32-14) ,한식,null,null,null,null,null
null,일월성,서울특별시 동대문구 장안동 412-1 ,중국식,null,null,null,null,null
null,신용궁,서울특별시 동대문구 장안동 195-7 (장일중앙길 16) ,중국식,null,null,null,null,null
null,현대반점,서울특별시 동대문구 회기동 65 청량리신현대아파트 ,중국식,null,null,null,null,null
null,청학동,서울특별시 동대문구 용두동 100-1 랜드마크타워1 ,경양식,null,null,null,null,null
null,행운돈까스 지기,서울특별시 동대문구 장안동 304-1 ,경양식,null,null,null,null,null
null,또와주오,서울특별시 동대문구 휘경동 163-9 1층 ,한식,null,null,null,null,null
null,이대감,서울특별시 동대문구 신설동 98-14 (신설2길 1) ,한식,null,null,null,null,null
null,장안닭한마리,서울특별시 동대문구 장안동 433-22 ,한식,null,null,null,null,null
null,진미식당,서울특별시 동대문구 이문동 305-84 ,한식,null,null,null,null,null
null,제주육돈가,서울특별시 동대문구 장안동 459-3 ,한식,null,null,null,null,null
null,하루,서울특별시 동대문구 신설동 97-22 (신설길15) ,한식,null,null,null,null,null
null,임오네쭈꾸미,서울특별시 동대문구 용두동 119-4 (용두북길4) ,한식,null,null,null,null,null
null,풍년식당,서울특별시 동대문구 답십리동 53-24 (답십리길164-1) ,한식,null,null,null,null,null
null,그남자의돼지갈비,서울특별시 동대문구 장안동 286-7 1층 ,한식,null,null,null,null,null
null,메가엠지씨커피 장한평역점,서울특별시 동대문구 장안동 463-3 ,식육(숯불구이),null,null,null,null,null
null,부산갈매기,서울특별시 동대문구 장안동 463-7 (장평1길7-11) ,한식,null,null,null,null,null
null,감악산생소금구이,서울특별시 동대문구 장안동 143-40 (답십리길252) ,한식,null,null,null,null,null
null,홍탁집,서울특별시 동대문구 장안동 375-3 (장한로69) ,한식,null,null,null,null,null
null,친구사이,서울특별시 동대문구 장안동 216-32 1층 ,한식,null,null,null,null,null
null,압구정포장마차,서울특별시 동대문구 청량리동 696 ,한식,null,null,null,null,null
null,정화네뼈우거지탕,서울특별시 동대문구 청량리동 704 1층 ,한식,null,null,null,null,null
null,옛날칼국수,서울특별시 동대문구 이문동 256-24 ,한식,null,null,null,null,null
null,돼지왕,서울특별시 동대문구 이문동 305-75 ,한식,null,null,null,null,null
null,계절밥상,서울특별시 동대문구 이문동 237-153 ,한식,null,null,null,null,null
null,와우한식당,서울특별시 동대문구 답십리동 483-39 (황물길 146) ,한식,null,null,null,null,null
null,홍반장,서울특별시 동대문구 용두동 129-98 ,중국식,null,null,null,null,null
null,동순루,서울특별시 동대문구 전농동 620-10 (왕산로 326-1) ,중국식,null,null,null,null,null
null,황금성,서울특별시 동대문구 장안동 312-13 ,중국식,null,null,null,null,null
null,만성,서울특별시 동대문구 장안동 141-24 (답십리길241) ,중국식,null,null,null,null,null
null,따봉돈까스,서울특별시 동대문구 장안동 288-38 (장안안길76) ,경양식,null,null,null,null,null
null,아리랑동가스,서울특별시 동대문구 이문동 288-44 ,경양식,null,null,null,null,null
null,서종냉면 경희대점,서울특별시 동대문구 회기동 42-8 1층 ,한식,null,null,null,null,null
null,장미식당,서울특별시 동대문구 용두동 11-24 ,한식,null,null,null,null,null
null,가도,서울특별시 동대문구 용두동 27-1 ,일식,null,null,null,null,null
null,유황오리구이전문점,서울특별시 동대문구 장안동 127-7 (은천길29) ,한식,null,null,null,null,null
null,외대철판마을,서울특별시 동대문구 이문동 287-48 ,한식,null,null,null,null,null
null,보신옥,서울특별시 동대문구 제기동 466-0 ,한식,null,null,null,null,null
null,고흥식당,서울특별시 동대문구 용두동 112-31 (용두북길8) ,한식,null,null,null,null,null
null,돌솥밥기사식당,서울특별시 동대문구 제기동 1159-0 (방아다리길 105) ,한식,null,null,null,null,null
null,서울식당,서울특별시 동대문구 제기동 137-16 (안암로 162) ,한식,null,null,null,null,null
null,석거리홍어,서울특별시 동대문구 장안동 306-5 (한울길 6) ,일식,null,null,null,null,null
null,구가설렁탕,서울특별시 동대문구 장안동 127-9 1층 ,한식,null,null,null,null,null
null,제주흑돼지알토란쌈밥,서울특별시 동대문구 장안동 377-5 (장일중앙길 39) ,한식,null,null,null,null,null
null,안씨네원조쭈꾸미,서울특별시 동대문구 회기동 75 ,한식,null,null,null,null,null
null,배비장,서울특별시 동대문구 휘경동 264-1 ,한식,null,null,null,null,null
null,다복,서울특별시 동대문구 휘경동 72-7 ,한식,null,null,null,null,null
null,오뚜기부대찌개,서울특별시 동대문구 이문동 288-47 ,한식,null,null,null,null,null
null,코로코로,서울특별시 동대문구 이문동 305-130 ,한식,null,null,null,null,null
null,시골집,서울특별시 동대문구 장안동 217-2 ,한식,null,null,null,null,null
null,그집,서울특별시 동대문구 이문동 264-407 ,한식,null,null,null,null,null
null,북경중화요리,서울특별시 동대문구 신설동 15 (한빛길48) ,중국식,null,null,null,null,null
null,대광반점,서울특별시 동대문구 답십리동 488-49 ,중국식,null,null,null,null,null
null,다래성,서울특별시 동대문구 장안동 288-2 (늘푸른1길11) ,중국식,null,null,null,null,null
null,탐호프레스토랑,서울특별시 동대문구 이문동 305-132 ,경양식,null,null,null,null,null
null,참숯불구이,서울특별시 동대문구 신설동 98-15 1층 ,한식,null,null,null,null,null
null,신남원추어탕,서울특별시 동대문구 신설동 93-19 (새말길28) ,한식,null,null,null,null,null
null,피자스쿨시립대점,서울특별시 동대문구 전농동 124-69 (전농로211) ,한식,null,null,null,null,null
null,외대역전,서울특별시 동대문구 이문동 288-44 ,한식,null,null,null,null,null
null,밥은,서울특별시 동대문구 휘경동 281-9 ,한식,null,null,null,null,null
null,재벌국수,서울특별시 동대문구 신설동 97-31 ,한식,null,null,null,null,null
null,갈치와고갈비,서울특별시 동대문구 신설동 102-46 (하정로17-3) ,한식,null,null,null,null,null
null,진달래식당,서울특별시 동대문구 용두동 129-376 (풍인길7) ,한식,null,null,null,null,null
null,완산골,서울특별시 동대문구 용두동 235-17 ,한식,null,null,null,null,null
null,기와집,서울특별시 동대문구 용두동 45-6 ,한식,null,null,null,null,null
null,홍도야빈대떡,서울특별시 동대문구 제기동 134-49 1층 ,한식,null,null,null,null,null
null,구포국수,서울특별시 동대문구 전농동 648-63 ,한식,null,null,null,null,null
null,갯뻘낙지,서울특별시 동대문구 답십리동 493-3 (천호대로 137) ,한식,null,null,null,null,null
null,제비 민속손국시,서울특별시 동대문구 답십리동 497-1 (고미술길95) ,한식,null,null,null,null,null
null,이종구낙지세상장안점,서울특별시 동대문구 장안동 310-3 ,한식,null,null,null,null,null
null,한양유황오리,서울특별시 동대문구 장안동 183-22 (장안복지길26) ,한식,null,null,null,null,null
null,칠성포차(경희대점),서울특별시 동대문구 회기동 42-35 1~2층 ,한식,null,null,null,null,null
null,삼정,서울특별시 동대문구 장안동 422-0 (안골공원길19) ,일식,null,null,null,null,null
null,황우곱창,서울특별시 동대문구 신설동 81-97 (한빛1길5) ,한식,null,null,null,null,null
null,만만스시,서울특별시 동대문구 신설동 102-31 1층 ,한식,null,null,null,null,null
null,전주식당,서울특별시 동대문구 답십리동 492-1 (천호대로147) ,한식,null,null,null,null,null
null,백두산감자탕,서울특별시 동대문구 신설동 96-16 (새말길 29) ,탕류(보신용),null,null,null,null,null
null,이조갈비,서울특별시 동대문구 용두동 122-50 (신동길5) ,한식,null,null,null,null,null
null,수희네목포홍탁,서울특별시 동대문구 용두동 223-23 (한빛길70) ,한식,null,null,null,null,null
null,세진회관,서울특별시 동대문구 용두동 232-12 (구슬길 24) ,한식,null,null,null,null,null
null,고향마을갈비,서울특별시 동대문구 용두동 233-11 (구슬1길1) ,한식,null,null,null,null,null
null,부여식당,서울특별시 동대문구 용두동 105-22 지하1층 ,한식,null,null,null,null,null
null,명품중화요리,서울특별시 동대문구 용두동 234-28 1층 ,중국식,null,null,null,null,null
null,경동시장원조감자탕,서울특별시 동대문구 제기동 993-5 ,한식,null,null,null,null,null
null,전주식당,서울특별시 동대문구 제기동 993-5 ,한식,null,null,null,null,null
null,경동연탄돼지갈비,서울특별시 동대문구 제기동 1140-50 ,한식,null,null,null,null,null
null,맛나식당,서울특별시 동대문구 전농동 643-51 (배봉로 49) ,한식,null,null,null,null,null
null,전주식당,서울특별시 동대문구 답십리동 910 ,한식,null,null,null,null,null
null,갈풍집,서울특별시 동대문구 장안동 459-3 ,한식,null,null,null,null,null
null,사조회참치장한평점,서울특별시 동대문구 장안동 433-8 2층 ,횟집,null,null,null,null,null
null,월계정,서울특별시 동대문구 장안동 406-4 (군자새싹길 31) ,한식,null,null,null,null,null
null,종로청진동해장국,서울특별시 동대문구 장안동 195-2 (장안벌길112) ,한식,null,null,null,null,null
null,빽다방장한평역점,서울특별시 동대문구 장안동 433-22 ,한식,null,null,null,null,null
null,우일식당,서울특별시 동대문구 장안동 138-43 (전곡시장길100) ,한식,null,null,null,null,null
null,우촌식당,서울특별시 동대문구 장안동 372-8 (장미공원1길8-9) ,한식,null,null,null,null,null
null,박사삼계탕,서울특별시 동대문구 장안동 423-14 (장안남2길17) ,한식,null,null,null,null,null
null,운주식당,서울특별시 동대문구 청량리동 30-12 (청량6길 13) ,한식,null,null,null,null,null
null,고향집,서울특별시 동대문구 청량리동 769-1 (왕산로 323) ,한식,null,null,null,null,null
null,더진국수육국밥(경희대점),서울특별시 동대문구 회기동 42-11 ,한식,null,null,null,null,null
null,낭만포차,서울특별시 동대문구 휘경동 167-21 1층 ,한식,null,null,null,null,null
null,외대곱창,서울특별시 동대문구 이문동 326-14 ,한식,null,null,null,null,null
null,은짱스낵,서울특별시 동대문구 이문동 287-44 지하1층 ,한식,null,null,null,null,null
null,딱이야2,서울특별시 동대문구 이문동 287-50 ,한식,null,null,null,null,null
null,스시카야 논데,서울특별시 동대문구 장안동 293-20 ,한식,null,null,null,null,null
null,성일식당,서울특별시 동대문구 장안동 424-11 (안골공원2길1) ,한식,null,null,null,null,null
null,청량리회집,서울특별시 동대문구 청량리동 735-0 (청량시장3길 22) ,일식,null,null,null,null,null
null,그옛날즉석짜장,서울특별시 동대문구 제기동 1145-6 ,중국식,null,null,null,null,null
null,히비야,서울특별시 동대문구 회기동 16-1 지하1 ,한식,null,null,null,null,null
null,하자포차,서울특별시 동대문구 이문동 287-22 지하1층 ,경양식,null,null,null,null,null
null,육전식당,서울특별시 동대문구 신설동 104-3 1층 ,한식,null,null,null,null,null
null,홍조식당,서울특별시 동대문구 신설동 97-22 (신설길15) ,한식,null,null,null,null,null
null,익골,서울특별시 동대문구 신설동 102-17 ,일식,null,null,null,null,null
null,고향집,서울특별시 동대문구 용두동 119-22 ,한식,null,null,null,null,null
null,함경면옥,서울특별시 동대문구 제기동 1158-49 ,한식,null,null,null,null,null
null,정궁중화요리,서울특별시 동대문구 제기동 464 (지상1층) ,중국식,null,null,null,null,null
null,은정식당,서울특별시 동대문구 제기동 637-0 ,한식,null,null,null,null,null
null,닭한마리오리한마리,서울특별시 동대문구 답십리동 495-1 ,한식,null,null,null,null,null
null,미로,서울특별시 동대문구 답십리동 821 ,한식,null,null,null,null,null
null,항방양꼬치,서울특별시 동대문구 장안동 433-10 1층 ,한식,null,null,null,null,null
null,영순네집,서울특별시 동대문구 장안동 338-10 장안코지빌 ,한식,null,null,null,null,null
null,참진한 순대국,서울특별시 동대문구 청량리동 653-1 ,한식,null,null,null,null,null
null,성문식당,서울특별시 동대문구 청량리동 701 ,한식,null,null,null,null,null
null,청우식당,서울특별시 동대문구 청량리동 199-230 (홍릉길 80) ,한식,null,null,null,null,null
null,중국관,서울특별시 동대문구 청량리동 36-15 ,중국식,null,null,null,null,null
null,봉자막창 경희대점,서울특별시 동대문구 회기동 42-78 ,한식,null,null,null,null,null
null,홍학식당,서울특별시 동대문구 회기동 60-51 ,한식,null,null,null,null,null
null,도읍지,서울특별시 동대문구 회기동 29-1 ,한식,null,null,null,null,null
null,신화식당,서울특별시 동대문구 휘경동 262-2 (휘경일길 23) ,한식,null,null,null,null,null
null,등대횟집,서울특별시 동대문구 이문동 220-302 ,한식,null,null,null,null,null
null,만미온,서울특별시 동대문구 이문동 288-68 1~2층 ,뷔페식,null,null,null,null,null
null,히노하루,서울특별시 동대문구 이문동 341-18 ,일식,null,null,null,null,null
null,행복한한끼,서울특별시 동대문구 이문동 283-6 1층 ,한식,null,null,null,null,null
null,장수식당,서울특별시 동대문구 전농동 35-4 ,한식,null,null,null,null,null
null,봉황부대찌게,서울특별시 동대문구 전농동 646-10 ,한식,null,null,null,null,null
null,동백꽃,서울특별시 동대문구 제기동 464-0 (약령시길 116) ,한식,null,null,null,null,null
null,고가네곱창,서울특별시 동대문구 용두동 38-13 (하정로129-1) ,한식,null,null,null,null,null
null,서울칼국수,서울특별시 동대문구 용두동 129-480 (풍인길14) ,한식,null,null,null,null,null
null,홍가네식당,서울특별시 동대문구 답십리동 218-1 (답십리길 133) ,한식,null,null,null,null,null
null,희수네숯불갈비,서울특별시 동대문구 답십리동 498-4 1층 ,한식,null,null,null,null,null
null,고향식당,서울특별시 동대문구 답십리동 271-4 1층 ,한식,null,null,null,null,null
null,한양숯불갈비,서울특별시 동대문구 장안동 344-3 (장평10길9) ,한식,null,null,null,null,null
null,이모네식당,서울특별시 동대문구 전농동 648-116 ,한식,null,null,null,null,null
null,치킨에 꼬치다(외대역점),서울특별시 동대문구 이문동 305-77 1층 ,한식,null,null,null,null,null
null,조선감저,서울특별시 동대문구 전농동 26-13 ,한식,null,null,null,null,null
null,나폴리식당,서울특별시 동대문구 이문동 349-11 ,한식,null,null,null,null,null
null,독도게찜분점,서울특별시 동대문구 장안동 360-1 ,한식,null,null,null,null,null
null,해성닭한마리,서울특별시 동대문구 이문동 305-74 ,한식,null,null,null,null,null
null,신토불이한우곱창,서울특별시 동대문구 휘경동 261-3 1층 ,한식,null,null,null,null,null
null,곡성,서울특별시 동대문구 전농동 204-204 (전농시장1길12) ,한식,null,null,null,null,null
null,마포숯불갈비,서울특별시 동대문구 전농동 648-13 (배봉로 42) ,한식,null,null,null,null,null
null,정인식당,서울특별시 동대문구 제기동 505-0 (약령시길 110) ,한식,null,null,null,null,null
null,장터칼국수,서울특별시 동대문구 청량리동 769-1 (왕산로 323) ,한식,null,null,null,null,null
null,시골집,서울특별시 동대문구 제기동 892-48 1층 ,한식,null,null,null,null,null
null,청량리 대박삼겹살,서울특별시 동대문구 용두동 9-2 ,한식,null,null,null,null,null
null,용두식당,서울특별시 동대문구 용두동 112-10 (용두서길5) ,한식,null,null,null,null,null
null,황대포소금구이,서울특별시 동대문구 용두동 130-9 (어항길9-1) ,한식,null,null,null,null,null
null,신미정,서울특별시 동대문구 용두동 238-74 ,한식,null,null,null,null,null
null,구락,서울특별시 동대문구 용두동 129-480 (풍인길14) ,한식,null,null,null,null,null
null,보리밭수제비,서울특별시 동대문구 신설동 114-41 (한솔길9) ,한식,null,null,null,null,null
